Energy (eV),Intensity,,,
916.3416793,0.16334431,,,
916.3402404,0.162247123,,,
916.3388015,0.161149936,,,
916.3373625,0.160052749,,,
916.3359236,0.158955562,,,
916.3344847,0.157858375,,,
916.3330457,0.156761188,,,
916.4767336,0.164436358,,,
916.4752946,0.163339171,,,
916.4738557,0.162241984,,,
916.4724168,0.161144797,,,
916.4709778,0.16004761,,,
916.4695389,0.158950423,,,
916.4681,0.157853236,,,
916.466661,0.156756049,,,
916.6103488,0.164431219,,,
916.6089099,0.163334032,,,
916.607471,0.162236845,,,
916.606032,0.161139658,,,
916.6045931,0.160042471,,,
916.6031542,0.158945284,,,
916.6017152,0.157848096,,,
916.6002763,0.156750909,,,
916.7439641,0.16442608,,,
916.7425252,0.163328893,,,
916.7410863,0.162231706,,,
916.7396473,0.161134519,,,
916.7382084,0.160037332,,,
916.7367695,0.158940144,,,
916.7353305,0.157842957,,,
916.7338916,0.15674577,,,
916.8775794,0.164420941,,,
916.8761405,0.163323754,,,
916.8747015,0.162226567,,,
916.8732626,0.16112938,,,
916.8718237,0.160032192,,,
916.8703847,0.158935005,,,
916.8689458,0.157837818,,,
916.8675069,0.156740631,,,
917.0111947,0.164415802,,,
917.0097558,0.163318615,,,
917.0083168,0.162221427,,,
917.0068779,0.16112424,,,
917.005439,0.160027053,,,
917.004,0.158929866,,,
917.0025611,0.157832679,,,
917.0011222,0.156735492,,,
917.14481,0.164410663,,,
917.143371,0.163313475,,,
917.1419321,0.162216288,,,
917.1404932,0.161119101,,,
917.1390542,0.160021914,,,
917.1376153,0.158924727,,,
917.1361764,0.15782754,,,
917.1347374,0.156730353,,,
917.2784253,0.164405523,,,
917.2769863,0.163308336,,,
917.2755474,0.162211149,,,
917.2741085,0.161113962,,,
917.2726695,0.160016775,,,
917.2712306,0.158919588,,,
917.2697917,0.157822401,,,
917.2683527,0.156725214,,,
917.4134795,0.165497571,,,
917.4120405,0.164400384,,,
917.4106016,0.163303197,,,
917.4091627,0.16220601,,,
917.4077237,0.161108823,,,
917.4062848,0.160011636,,,
917.4048459,0.158914449,,,
917.4034069,0.157817262,,,
917.401968,0.156720075,,,
917.5470948,0.165492432,,,
917.5456558,0.164395245,,,
917.5442169,0.163298058,,,
917.542778,0.162200871,,,
917.541339,0.161103684,,,
917.5399001,0.160006497,,,
917.5384612,0.15890931,,,
917.5370222,0.157812123,,,
917.5355833,0.156714936,,,
917.68071,0.165487293,,,
